Journal Name,Journal ISSN,Count, Avg SC Ratio,Avg ReLy,Avg semantic diff,Avg NSC similarity,Avg SC similarity,Avg references,Average SCs
The international journal of behavioral nutrition and physical activity,1479-5868,1082,0.07724927,-0.185657075,-0.021955873,0.450998293,0.472954166,40.01201479,2.788354898
Virchows Archiv : an international journal of pathology,0945-6317,1078,0.056459646,-0.522041075,-0.100630101,0.620046368,0.720676469,36.83024119,1.676252319
Frontiers in neuroscience,1662-453X,1076,0.055670568,-0.303486932,-0.063392189,0.645109756,0.708501944,71.48884758,2.008364312
Nature biotechnology,1087-0156,1074,0.11496246,-0.321663841,-0.029795777,0.515388266,0.545184043,34.96927374,2.981378026
"International journal of radiation oncology, biology, physics",0360-3016,1073,0.260363153,0.005930625,-0.000251444,0.393144928,0.393396372,28.05964585,6.652376514
The Journal of nutrition,0022-3166,1070,0.101659476,-0.953647766,-0.091829949,0.492784006,0.584613955,43.20093458,3.990654206
Nanoscale research letters,1556-276X,1067,0.122955458,-0.587358998,-0.053119919,0.662196847,0.715316766,22.55670103,2.14995314
HNO,0017-6192,1066,0.12892305,0.057900097,-0.004160808,0.485794212,0.48995502,28.23733583,2.859287054
"Journal of neural transmission (Vienna, Austria : 1996)",0300-9564,1062,0.044547903,-0.437341829,-0.097330454,0.614283959,0.711614414,59.02259887,1.933145009
Journal of neurotrauma,0897-7151,1061,0.117308325,-1.307495282,-0.10348741,0.619752758,0.723240168,55.94156456,6.140433553
Neurobiology of aging,0197-4580,1054,0.063119955,-0.52731319,-0.080362199,0.627324948,0.707687147,56.87760911,3.322580645
Journal of biomechanics,0021-9290,1052,0.165163119,-1.139027771,-0.077215457,0.657974677,0.735190134,34.61692015,5.27661597
Cellular and molecular life sciences : CMLS,1420-682X,1041,0.019191663,-0.120011024,-0.067437131,0.629121521,0.696558652,120.7098943,1.509125841
Journal of computer-aided molecular design,0920-654X,1034,0.122155675,-0.932030385,-0.076954055,0.644695995,0.72165005,33.87524178,3.500967118
Journal of gastroenterology,0944-1174,1034,0.066621195,-0.22814994,-0.034103611,0.49263101,0.526734621,39.94294004,2.175048356
Behavioural brain research,0166-4328,1032,0.063399937,-0.553588721,-0.083836298,0.663839549,0.747675846,58.1996124,3.238372093
Toxicological sciences : an official journal of the Society of Toxicology,1096-0929,1031,0.071384177,-0.65435804,-0.093701011,0.627584062,0.721285073,52.78467507,3.436469447
Clinical research in cardiology : official journal of the German Cardiac Society,1861-0684,1027,0.125865481,0.136023101,0.002315427,0.471002895,0.468687468,32.23076923,3.615384615
Journal of thoracic disease,2072-1439,1024,0.088723973,-0.539853915,-0.067611029,0.466452771,0.534063799,31.05957031,2.240234375
Calcified tissue international,0171-967X,1022,0.111483283,-0.639884385,-0.06205063,0.620761264,0.682811894,32.44911937,3.069471624
Social science & medicine (1982),0277-9536,1022,0.122490829,-1.767372504,-0.146981421,0.589912642,0.736894063,34.9109589,3.864970646
Autophagy,1554-8627,1016,0.085720872,-0.369653482,-0.042105224,0.666306653,0.708411878,62.66043307,5.177165354
PeerJ,2167-8359,1015,0.054772106,-0.396366237,-0.073262501,0.611663073,0.684925574,35.02167488,1.379310345
Developmental cell,1534-5807,1014,0.053087791,-0.246155111,-0.046480856,0.668218299,0.714699155,57.28500986,2.726824458
Journal of molecular and cellular cardiology,0022-2828,1012,0.062673476,-0.440703698,-0.072640118,0.611243524,0.683883642,58.59980237,3.229249012
The New England journal of medicine,0028-4793,1012,0.113046249,-0.245536626,-0.015418346,0.330927366,0.346345712,32.28162055,3.108695652
The international journal of cardiovascular imaging,1569-5794,1010,0.071140448,-0.670775609,-0.107162927,0.528025488,0.635188416,30.24752475,2.099009901
"Obesity (Silver Spring, Md.)",1930-7381,1006,0.069426433,-0.252208648,-0.027801945,0.437184142,0.464986087,34.88270378,2.173956262
Biology of blood and marrow transplantation : journal of the American Society for Blood and Marrow Transplantation,1083-8791,1005,0.137961239,-1.26954999,-0.091632104,0.634870858,0.726502962,39.03880597,4.901492537
Journal of Korean medical science,1011-8934,1002,0.066654242,-0.799750654,-0.117927963,0.536532237,0.6544602,24.98403194,1.472055888
Drugs & aging,1170-229X,1001,0.044543136,-0.418922316,-0.110055039,0.490432081,0.60048712,69.6963037,2.165834166
American journal of obstetrics and gynecology,0002-9378,998,0.156809219,-0.176414653,-0.009538528,0.434910507,0.444449035,38.79659319,5.825651303
Journal of diabetes science and technology,1932-2968,997,0.15169824,-0.384978052,-0.031879989,0.407539365,0.439419355,28.37412237,3.647943831
International urology and nephrology,0301-1623,996,0.0715518,-0.236690617,-0.041782755,0.496700739,0.538483494,30.46285141,1.799196787
Viruses,1999-4915,996,0.030697503,-0.240104851,-0.079479685,0.631282577,0.710762262,90.71084337,1.846385542
Molecular psychiatry,1359-4184,995,0.059426864,-0.486243288,-0.086510577,0.603788214,0.69029879,65.93567839,3.253266332
Genome biology and evolution,1759-6653,993,0.035757927,-0.424577543,-0.118668181,0.650564203,0.769232384,64.29808661,2.113796576
Antioxidants & redox signaling,1523-0864,992,0.044347585,-0.127747048,-0.033944566,0.410892375,0.444836941,121.7953629,4.018145161
Chemical science,2041-6520,990,0.040673079,-0.267339862,-0.067964757,0.640770316,0.708735074,44.71111111,1.577777778
Nature materials,1476-1122,990,0.119443691,-0.520697265,-0.044848129,0.640895263,0.685743392,25.88080808,2.537373737
Virus genes,0920-8569,987,0.061854259,-0.651250801,-0.101153238,0.65544717,0.756600408,32.9473151,1.684903749
Der Unfallchirurg,0177-5537,985,0.128471905,-0.344473,-0.034545424,0.547821675,0.582367099,27.04263959,2.894416244
Der Ophthalmologe : Zeitschrift der Deutschen Ophthalmologischen Gesellschaft,0941-293X,984,0.098985366,-0.164509074,-0.021604436,0.476453071,0.498057506,30.21646341,2.682926829
Cell and tissue research,0302-766X,982,0.091300942,-0.970251372,-0.101593465,0.628618641,0.730212106,38.89918534,2.818737271
Biochemical and biophysical research communications,0006-291X,980,0.053872227,-0.275094033,-0.04672892,0.645423163,0.692152084,31.26734694,1.502040816
European journal of epidemiology,0393-2990,979,0.077749112,-0.653855471,-0.095478271,0.55316759,0.648645862,34.1195097,3.375893769
Critical care medicine,0090-3493,978,0.145466481,-0.195311302,-0.013550275,0.292454157,0.306004432,36.03271984,4.799591002
"Journal of comparative physiology. B, Biochemical, systemic, and environmental physiology",0174-1578,978,0.084618974,-0.71199714,-0.082677724,0.64952612,0.732203844,38.60940695,2.601226994
BMC medical education,1472-6920,972,0.082496923,-0.097064751,-0.014600824,0.416608279,0.431209103,26.61625514,1.946502058
Journal of the American Heart Association,2047-9980,971,0.045327811,-0.366254497,-0.075125539,0.226684625,0.301810164,37.35427394,1.306900103
"Learning & memory (Cold Spring Harbor, N.Y.)",1072-0502,971,0.06272064,-0.299637452,-0.049456002,0.686475504,0.735931506,53.91246138,2.910401648
Cell death and differentiation,1350-9047,961,0.052899002,-0.097498632,-0.026516772,0.65963075,0.686147521,56.70759625,2.722164412
Nature protocols,1750-2799,961,0.057034045,-0.495200557,-0.090817862,0.652767005,0.743584866,43.68470343,2.167533819
Retrovirology,1742-4690,960,0.061242753,0.362108919,0.057186009,0.47025204,0.41306603,63.15208333,2.95
"Radiation oncology (London, England)",1748-717X,959,0.072028069,-0.115170791,-0.026573837,0.481739205,0.508313041,33.16162669,2.120959333
Canadian family physician Medecin de famille canadien,0008-350X,958,0.125648656,-0.026927852,-0.000547938,0.36959454,0.370142477,21.87787056,2.22651357
Kidney international,0085-2538,958,0.106136291,-0.426600426,-0.036145527,0.601814802,0.637960329,46.98016701,4.520876827
Bioorganic & medicinal chemistry letters,0960-894X,957,0.097830255,-1.022272569,-0.104384089,0.58689108,0.691275169,26.27899687,2.337513062
The European journal of neuroscience,0953-816X,956,0.04549176,-0.28976017,-0.064385514,0.697848922,0.762234436,63.83368201,2.640167364
Histochemistry and cell biology,0948-6143,955,0.061388971,-0.374357877,-0.085344132,0.635535798,0.72087993,55.91518325,4.485863874
Journal of biological inorganic chemistry : JBIC : a publication of the Society of Biological Inorganic Chemistry,0949-8257,953,0.054344172,-0.4903386,-0.086924986,0.628851632,0.715776618,45.3158447,2.094438615
Archives of virology,0304-8608,949,0.090739818,-0.604880781,-0.060773418,0.62777735,0.688550768,29.33192835,2.287671233
European journal of applied physiology and occupational physiology,0301-5548,949,0.132998102,-1.524045524,-0.11570182,0.61810217,0.73380399,23.92307692,3.035827187
Bone,1873-2763,947,0.104584737,-0.766453675,-0.071590912,0.620890878,0.69248179,49.53220697,4.621964097
Journal of the American College of Cardiology,0735-1097,946,0.120146651,-0.099393249,-0.007704263,0.397683155,0.405387417,40.89429175,4.447145877
Experimental & applied acarology,0168-8162,945,0.18930194,-1.421366224,-0.080038736,0.651313496,0.731352232,23.41164021,3.638095238
World journal of urology,0724-4983,945,0.080431137,-0.292287242,-0.043678485,0.465992397,0.509670882,30.39153439,2
Cancer chemotherapy and pharmacology,0344-5704,944,0.088720906,-0.707166442,-0.076306494,0.565737864,0.642044359,28.7595339,2.11970339
Ecology and evolution,2045-7758,942,0.050701077,-0.359728774,-0.075681689,0.693014157,0.768695846,33.18895966,1.305732484
"Chromosome research : an international journal on the molecular, supramolecular and evolutionary aspects of chromosome biology",0967-3849,941,0.094427454,-0.728341541,-0.071987982,0.662107519,0.734095501,40.09351753,3.009564293
American journal of physiology. Endocrinology and metabolism,0193-1849,939,0.061549073,-0.573449603,-0.093198926,0.648875656,0.742074582,54.33226837,2.965921193
Journal of youth and adolescence,0047-2891,938,0.089583052,-0.849840017,-0.09690712,0.659843272,0.756750392,31.56716418,2.383795309
Human vaccines & immunotherapeutics,2164-5515,936,0.061267168,-0.723627971,-0.120273641,0.592859443,0.713133084,46.05769231,2.049145299
Social cognitive and affective neuroscience,1749-5016,936,0.043980349,-0.309388974,-0.073535705,0.683480634,0.757016339,54.36004274,2.223290598
Der Anaesthesist,0003-2417,934,0.100720123,-0.648869005,-0.070807402,0.477140875,0.547948277,37.21627409,2.587794433
Journal of veterinary internal medicine,0891-6640,934,0.142837808,-0.389686493,-0.034678588,0.316056802,0.35073539,34.48501071,4.490364026
British journal of sports medicine,0306-3674,933,0.142545287,-0.124081891,-0.008106071,0.464988892,0.473094963,31.08360129,3.669882101
Journal of clinical sleep medicine : JCSM : official publication of the American Academy of Sleep Medicine,1550-9389,933,0.08751573,-0.23216974,-0.022782537,0.280761874,0.30354441,33.86602358,2.361200429
Journal of magnetic resonance imaging : JMRI,1053-1807,933,0.115287178,0.085856252,0.006185398,0.451123561,0.444938163,34.75026795,3.719185423
Mediators of inflammation,0962-9351,933,0.036930633,-0.251825558,-0.073389858,0.555468936,0.628858795,61.3772776,1.535905681
"The journal of nutrition, health & aging",1279-7707,930,0.093861158,-0.215514969,-0.029846755,0.317051457,0.346898213,37.97849462,3.217204301
International journal of obesity (2005),0307-0565,929,0.052876703,-0.089394837,-0.012848299,0.458084405,0.470932705,43.91603875,2.049515608
Journal of the National Cancer Institute,0027-8874,928,0.086199716,-0.128991807,-0.01480818,0.402752056,0.417560236,41.0625,2.994612069
Clinical & experimental metastasis,0262-0898,925,0.049489183,-0.47519176,-0.097232918,0.630529981,0.727762899,46.88864865,1.855135135
Arthritis and rheumatism,0004-3591,923,0.175146014,-0.045219722,0.004125519,0.4393775,0.435251982,36.32286024,5.876489707
Documenta ophthalmologica. Advances in ophthalmology,0012-4486,918,0.138157462,-0.525314735,-0.032955625,0.527094994,0.560050619,28.86383442,3.473856209
Neuropsychologia,0028-3932,915,0.073117788,-0.291799122,-0.036458939,0.690299444,0.726758383,58.9136612,3.963934426
Biology of reproduction,0006-3363,914,0.099354452,-0.67871271,-0.070722528,0.645880868,0.716603396,55.68818381,5.043763676
Nature chemical biology,1552-4450,912,0.063606425,-0.200991755,-0.040129668,0.535220772,0.57535044,40.27083333,1.849780702
Journal of neurovirology,1355-0284,908,0.074941518,-0.757649626,-0.092639551,0.615389801,0.708029352,47.25220264,2.997797357
Journal of Alzheimer's disease : JAD,1387-2877,905,0.051987478,-0.266859994,-0.055553313,0.50517722,0.560730533,64.94585635,3.080662983
Neuropharmacology,0028-3908,904,0.03848324,-0.219653612,-0.060114244,0.669096117,0.729210362,75.69579646,2.537610619
Journal of cancer research and clinical oncology,0171-5216,903,0.050074162,-0.280096212,-0.046055415,0.510116681,0.556172096,36.0841639,1.446290144
JAMA,0098-7484,901,0.092844477,-0.166934069,-0.017172179,0.341700876,0.358873055,35.2963374,2.891231964
Tobacco control,0964-4563,900,0.244800553,0.541294303,0.018043516,0.428987744,0.410944228,24.98333333,5.394444444
Tropical animal health and production,0049-4747,900,0.143202013,-0.998909085,-0.068402435,0.672182359,0.740584793,19.18888889,2.313333333
Frontiers in cellular neuroscience,1662-5102,899,0.036131342,-0.188590489,-0.063431279,0.652105342,0.715536621,92.78197998,1.982202447
Journal of muscle research and cell motility,0142-4319,899,0.070144022,-0.395797561,-0.048918047,0.650328052,0.699246099,43.810901,2.565072303
The Journal of pediatrics,0022-3476,899,0.086616652,-0.137547831,-0.019444756,0.334261538,0.353706294,32.29143493,2.522803115
Folia microbiologica,0015-5632,898,0.130133031,-0.624332311,-0.045086741,0.605762645,0.650849386,25.94432071,2.579064588
Journal of controlled release : official journal of the Controlled Release Society,0168-3659,897,0.093166834,-0.809097117,-0.089869808,0.622107412,0.711977219,57.86622074,4.538461538
Genome announcements,,896,0.127561756,-2.36277556,-0.18143705,0.50916276,0.69059981,14.984375,1.886160714
Chromosoma,0009-5915,893,0.092745653,-0.454696026,-0.040717059,0.65684641,0.697563469,52.47928331,3.409854423
Journal of industrial microbiology & biotechnology,1367-5435,892,0.069163937,-0.539758018,-0.079064274,0.644521087,0.72358536,34.21636771,1.8867713
Journal of molecular neuroscience : MN,0895-8696,892,0.051071034,-0.508323553,-0.107368685,0.637179061,0.744547746,45.51569507,1.960762332
ACS nano,1936-0851,890,0.076773466,-0.548890002,-0.078811281,0.648149557,0.726960838,46.13370787,3.328089888
"Eye (London, England)",0950-222X,886,0.074638261,-0.123565759,-0.01883546,0.489977777,0.508813237,34.31489842,1.977426637
Respiratory research,1465-9921,884,0.041479001,-0.022492288,-0.000885466,0.451544217,0.452429683,48.95475113,1.653846154
Sleep & breathing = Schlaf & Atmung,1520-9512,884,0.080371947,-0.161842406,-0.025609727,0.45724324,0.482852967,32.78167421,2.358597285
Oncoimmunology,2162-4011,880,0.06755982,-0.435352906,-0.085234335,0.616607962,0.701842297,56.28977273,3.995454545
Experimental neurology,0014-4886,879,0.056352633,-0.369710331,-0.070022303,0.656645727,0.72666803,66.44596132,3.253697383
Frontiers in pharmacology,1663-9812,878,0.038048481,-0.240024411,-0.0811248,0.580673354,0.661798154,71.97835991,1.61047836
Molecular pharmacology,0026-895X,870,0.076770864,-0.583115964,-0.075646474,0.665824231,0.741470705,46.71954023,3.249425287
Journal of genetic counseling,1059-7700,869,0.151958725,-1.567887553,-0.126322464,0.594603203,0.720925667,31.53509781,3.918296893
Journal of the experimental analysis of behavior,0022-5002,869,0.583720587,-5.779044904,-0.083889781,0.592732616,0.676622398,24.49827388,13.04833142
Statistics in medicine,0277-6715,869,0.221257206,-2.995530242,-0.139987697,0.625630922,0.765618618,20.56271577,4.413118527
Journal of translational medicine,1479-5876,868,0.044010774,-0.103435156,-0.017853456,0.464443501,0.482296956,51.58986175,1.692396313
The Journal of urology,0022-5347,867,0.208289113,-0.407780542,-0.014821445,0.376923701,0.391745146,23.64705882,4.6816609
Der Nervenarzt,0028-2804,861,0.087089978,-0.546257839,-0.081183854,0.509338259,0.590522113,35.55981417,2.003484321
"Addiction (Abingdon, England)",0965-2140,859,0.111354772,0.055567731,0.004288397,0.446281234,0.441992838,37.99301513,3.664726426
Glycoconjugate journal,0282-0080,857,0.055200499,-0.357320128,-0.056108765,0.605125541,0.661234306,45.56009335,1.939323221
Journal of applied clinical medical physics,1526-9914,855,0.103752134,-1.432918284,-0.142892444,0.612748679,0.755641123,23.14619883,2.175438596
"Structure (London, England : 1993)",0969-2126,855,0.049226399,-0.146238441,-0.027012802,0.647880768,0.67489357,47.14853801,2.073684211
Cell metabolism,1550-4131,845,0.068711553,-0.410078556,-0.061465484,0.63755426,0.699019744,56.49585799,3.327810651
Indian journal of pediatrics,0019-5456,844,0.103080124,-0.088561562,-0.014624854,0.438969312,0.453594166,20.72867299,1.778436019
Experimental eye research,0014-4835,842,0.090214181,-0.899300349,-0.093986827,0.590865086,0.684851913,58.09738717,4.712589074
Human brain mapping,1065-9471,842,0.054793626,-0.283354686,-0.047522254,0.671423245,0.718945499,63.16270784,3.129453682
Dysphagia,0179-051X,840,0.205799414,-2.196743789,-0.099705034,0.563498609,0.663203643,29.18333333,5.329761905
Journal of bioenergetics and biomembranes,0145-479X,840,0.060593559,-0.451874403,-0.07008793,0.621447598,0.691535528,51.55595238,2.416666667
The Journal of chemical physics,0021-9606,839,0.210678528,-1.610137382,-0.075851826,0.692666379,0.768518205,33.03218117,6.090584029
American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,1600-6135,838,0.152473633,-2.03970809,-0.123327618,0.584299122,0.70762674,37.69689737,5.143198091
Cancer causes & control : CCC,0957-5243,837,0.068617834,-0.314258447,-0.05380713,0.518527146,0.572334276,39.46356033,2.388291517
Current microbiology,0343-8651,835,0.070820205,-0.688612509,-0.095540471,0.631374749,0.72691522,24.04431138,1.479041916
The British journal of radiology,0007-1285,830,0.07093252,-0.359914976,-0.054232123,0.488019571,0.542251694,33.32409639,1.757831325
Der Chirurg; Zeitschrift fur alle Gebiete der operativen Medizen,0009-4722,829,0.092908667,-0.634410249,-0.076483637,0.506091104,0.582574741,30.6344994,2.402895054
Physiology & behavior,0031-9384,829,0.093510602,-0.555075151,-0.05961997,0.641298908,0.700918878,61.18455971,4.813027744
Radiology,0033-8419,826,0.137343368,0.135201629,0.008593531,0.435710569,0.427117038,35.62711864,4.415254237
Neurocritical care,1541-6933,825,0.077038017,-0.179885526,-0.022730423,0.368746298,0.391476721,38.08242424,2.435151515
Transgenic research,0962-8819,825,0.07604196,-0.679626051,-0.08615391,0.640673379,0.726827289,36.08242424,2.309090909
International journal of biometeorology,0020-7128,820,0.204141612,-2.460309311,-0.115746092,0.617379375,0.733125467,25.84146341,4.509756098
Transplantation,0041-1337,819,0.152639065,-0.281162982,-0.012713989,0.393796079,0.406510068,38.71916972,5.367521368
Biomicrofluidics,1932-1058,817,0.109799007,-0.421302735,-0.051565327,0.670729189,0.722294516,34.73317013,3.126070991
Chest,0012-3692,817,0.100121813,-0.147750813,-0.014204828,0.385323741,0.39952857,45.4749082,3.718482252
Der Urologe. Ausg. A,0340-2592,817,0.081742225,-0.764796685,-0.093820765,0.504443254,0.598264019,30.65238678,1.951040392
Journal of fluorescence,1053-0509,815,0.097174716,-1.048859059,-0.110823833,0.626380855,0.737204688,23.75214724,1.963190184
"Clinical ophthalmology (Auckland, N.Z.)",1177-5467,814,0.069943351,-0.495301901,-0.069846021,0.492236251,0.562082271,34.22972973,1.788697789
Nature nanotechnology,1748-3387,814,0.10946919,-0.382405757,-0.041534796,0.659499718,0.701034514,28.5036855,2.712530713
Carcinogenesis,0143-3334,811,0.053184382,-0.522044377,-0.09911949,0.62452102,0.72364051,55.96300863,2.657213317
Cytotechnology,0920-9069,811,0.101967745,-0.740436298,-0.077212551,0.626956909,0.70416946,32.18988903,2.458692972
Journal of clinical immunology,0271-9142,810,0.078476393,-0.427511841,-0.051214942,0.485621224,0.536836166,38.8308642,2.355555556
Extremophiles : life under extreme conditions,1431-0651,809,0.072295118,-0.536116535,-0.073057557,0.632901928,0.705959485,36.42274413,2.378244747
Fish physiology and biochemistry,0920-1742,806,0.08703798,-0.899548065,-0.094012846,0.627756356,0.721769203,29.45905707,1.983870968
"Stem cells (Dayton, Ohio)",1066-5099,805,0.053487981,-0.411545665,-0.077576242,0.669276434,0.746852676,54.2173913,2.744099379
European child & adolescent psychiatry,1018-8827,799,0.094219775,-0.484625272,-0.065413311,0.546781248,0.61219456,40.20525657,2.723404255
Journal of medical systems,0148-5598,799,0.209860616,-2.366321061,-0.12395523,0.601148963,0.725104193,22.76971214,4.226533166
BMC systems biology,1752-0509,798,0.052253887,0.299392413,0.047772998,0.410693835,0.362920838,47.55764411,1.929824561
"Der Hautarzt; Zeitschrift fur Dermatologie, Venerologie, und verwandte Gebiete",0017-8470,798,0.089994586,-0.548391059,-0.064237817,0.517482707,0.581720524,29.54636591,2.056390977
Epidemiology and infection,0950-2688,798,0.104421744,-1.061733961,-0.103745408,0.613025102,0.71677051,25.24561404,2.248120301
Cell stress & chaperones,1355-8145,797,0.062736985,-0.391460819,-0.058942541,0.619354321,0.678296862,49.57716437,2.745294856
"Journal of comparative physiology. A, Neuroethology, sensory, neural, and behavioral physiology",0340-7594,797,0.089546446,-0.504206899,-0.060195415,0.675435016,0.735630431,35.28481807,2.539523212
Plant signaling & behavior,1559-2316,796,0.058687354,-0.275229428,-0.043285387,0.67105491,0.714340297,33.06281407,1.530150754
Cancer cell,1535-6108,788,0.07148438,-0.416219109,-0.060477966,0.619117803,0.679595769,51.72715736,3.076142132
Molecular cancer therapeutics,1535-7163,783,0.045429828,-0.547173592,-0.121938122,0.63129919,0.753237312,44.10855683,1.901660281
Archives of medical science : AMS,1734-1922,779,0.071049885,0.456631856,0.063098199,0.461888332,0.398790134,35.70474968,2.114249037
Lab on a chip,1473-0189,772,0.187041028,-1.166885833,-0.072916261,0.647602362,0.720518623,38.73056995,6.636010363
American journal of preventive medicine,0749-3797,767,0.106901711,-0.131575119,-0.012774641,0.344589044,0.357363686,34.75097784,3.122555411
Der Orthopade,0085-4530,764,0.082459727,-0.44303205,-0.050857742,0.549532204,0.600389946,32.09816754,2.208115183
European archives of psychiatry and clinical neuroscience,0940-1334,761,0.065268856,-0.467024524,-0.079194269,0.590419023,0.669613292,46.47043364,2.275952694
Clinical and diagnostic laboratory immunology,1071-412X,759,0.069638494,-0.741902508,-0.101526011,0.61768742,0.719213431,30.6455863,1.750988142
Inflammation,0360-3997,759,0.050881472,-0.653679376,-0.133739647,0.6024055,0.736145147,35.73913043,1.596837945
"Cancer immunology, immunotherapy : CII",0340-7004,757,0.067200051,-0.54781604,-0.079988243,0.634950249,0.714938492,39.45442536,2.348745046
Chemical research in toxicology,0893-228X,754,0.138442712,-1.146646834,-0.077242886,0.627253918,0.704496804,52.96551724,6.75994695
Journal of cardiovascular magnetic resonance : official journal of the Society for Cardiovascular Magnetic Resonance,1097-6647,754,0.110107393,-0.295937176,-0.03466696,0.466334167,0.501001127,37.74270557,4.729442971
Acta neurochirurgica,0001-6268,752,0.094965521,-0.601481849,-0.06045931,0.600241937,0.660701247,27.87367021,2.261968085
Tissue engineering. Part A,1937-3341,752,0.052746255,-0.546920972,-0.103771893,0.647238125,0.751010018,48.20744681,2.428191489
Metabolic brain disease,0885-7490,751,0.05576563,-0.642865513,-0.115558538,0.597017316,0.712575854,47.74034621,2.266311585
The American journal of gastroenterology,0002-9270,751,0.107693648,0.145993105,0.009544503,0.313632139,0.304087636,39.62583222,3.881491345
Pediatric research,0031-3998,749,0.071282024,-0.507286736,-0.071485958,0.516581151,0.588067109,40.16021362,2.571428571
Annals of surgical oncology,1068-9265,747,0.12210485,-0.247470971,-0.020494643,0.336573637,0.35706828,29.43641232,3.310575636
Journal of behavioral medicine,0160-7715,746,0.069833949,-0.829737563,-0.123598864,0.595403995,0.719002859,36.22922252,1.982573727
Gynecologic oncology,0090-8258,744,0.176247561,-0.686527029,-0.035349408,0.457189553,0.492538961,31.98387097,5.106182796
American journal of pharmaceutical education,0002-9459,743,0.344814618,-0.076797074,-0.004154992,0.45919502,0.463350011,18.32032301,5.911170929
Demography,0070-3370,741,0.254027174,-2.366277787,-0.100478324,0.598660155,0.699138479,23.94466937,4.858299595
Journal of gambling studies,1050-5350,741,0.271282319,-3.311127772,-0.124683125,0.605012145,0.729695269,26.29959514,6.16194332
Infection,0300-8126,739,0.080173175,-0.194211383,-0.027040179,0.519671272,0.546711451,30.64682003,1.790257104
Lipids in health and disease,1476-511X,739,0.047307479,-0.208636091,-0.042575264,0.445751473,0.488326737,40.9052774,1.635994587
BMC family practice,1471-2296,738,0.061794767,-0.217655121,-0.035643408,0.433441393,0.469084801,30.01084011,1.670731707
European journal of immunology,0014-2980,737,0.053684873,-0.205558009,-0.038067022,0.676411179,0.714478201,46.69877883,2.263229308
Ophthalmology,0161-6420,737,0.186517567,-0.318245169,-0.013140706,0.377679759,0.390820465,32.17910448,5.510176391
Psychiatry research,0165-1781,736,0.057134956,-0.723000342,-0.126192018,0.607903104,0.734095121,45.90217391,2.364130435
Cardiovascular research,0008-6363,734,0.062803206,0.058235493,0.015062065,0.462881304,0.44781924,54.61035422,2.757493188
European heart journal,0195-668X,733,0.093528893,-0.016451203,0.005575284,0.447375247,0.441799964,41.81991814,3.283765348
"Brain, behavior, and immunity",0889-1591,732,0.078317363,-0.699535909,-0.092364688,0.603119518,0.695484206,60.90983607,4.342896175
In vitro cellular & developmental biology. Animal,1071-2690,732,0.074382346,-0.506452916,-0.071920395,0.622287177,0.694207572,31.72677596,1.909836066
"Neoplasia (New York, N.Y.)",1476-5586,732,0.045003734,-0.369661552,-0.090637847,0.630319005,0.720956851,48.48087432,1.946721311
EMBO reports,1469-221X,729,0.05386938,-0.11819244,-0.029109536,0.591094238,0.620203773,41.78326475,1.360768176
Drug metabolism and disposition: the biological fate of chemicals,0090-9556,728,0.133857424,-1.195722322,-0.091364459,0.622445895,0.713810355,40.08379121,5.114010989
Cancer science,1347-9032,727,0.045854217,-0.848347193,-0.190736297,0.619735597,0.810471894,40.26822558,1.636863824
Environmental science & technology,0013-936X,726,0.263523176,-1.450658619,-0.059975679,0.653289221,0.7132649,33.6322314,7.527548209
The Indian journal of medical research,0971-5916,726,0.084623198,-0.211720948,-0.024635986,0.437799723,0.462435709,29.08402204,1.896694215
Bulletin of the World Health Organization,0042-9686,725,0.118324853,-0.397683754,-0.026596349,0.496589934,0.523186283,23.51310345,2.300689655
Proteins,0887-3585,725,0.149853716,-1.303882856,-0.06843327,0.651441162,0.719874433,46.65931034,6.148965517
Community mental health journal,0010-3853,724,0.097732487,-0.996246534,-0.108498808,0.603070571,0.711569379,25.14502762,2.080110497
Sexually transmitted infections,1368-4973,722,0.154524164,0.214395884,0.010464123,0.442422938,0.431958815,24.28116343,3.236842105
"Acta crystallographica. Section D, Biological crystallography",0907-4449,720,0.256469794,-0.79765238,0.017148309,0.624903835,0.607755526,36.96944444,8.283333333
"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",0161-5505,720,0.1750806,0.605925747,0.03938469,0.411733209,0.372348519,32.01805556,5.177777778
The Canadian veterinary journal = La revue veterinaire canadienne,0008-5286,718,0.123342601,-0.255061231,-0.02734741,0.583943778,0.611291188,21.46518106,2.272980501
British heart journal,0007-0769,716,0.122989412,-0.343717252,-0.025278688,0.503384246,0.528662933,22.33938547,2.418994413
Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,1590-1874,715,0.072615268,-0.954799146,-0.127189244,0.570648362,0.697837606,29.85734266,1.823776224
Journal of dental research,0022-0345,713,0.106282891,-0.959061047,-0.090165487,0.599462995,0.689628482,37.62692847,3.419354839
Wiener klinische Wochenschrift,0043-5325,712,0.086475897,0.01143073,-0.006757839,0.477310644,0.484068483,31.95505618,2.030898876
Acta orthopaedica,1745-3674,711,0.111793892,0.186190323,0.017340693,0.514324388,0.496983695,28.20253165,2.850914205
Langmuir : the ACS journal of surfaces and colloids,0743-7463,709,0.128668393,-0.959617303,-0.075048922,0.659514388,0.73456331,31.91819464,3.686882934
